closetCleaner Report:
=====================

                     Name |      Count |             Location | Jobs Used                                                                                |                                                    Long Name
           Peda. Pants +1 |          8 |                 Sack | SCH                                                                                      |                                            pedagogy pants +1
                   Arktoi |          8 |               Locker | BST                                                                                      |                                                       Arktoi
        Mallquis Cuffs +1 |          8 |              Satchel | GEO,SCH,BLM                                                                              |                                            mallquis cuffs +1
       Piety Duckbills +1 |          8 |               Locker | WHM                                                                                      |                                           piety duckbills +1
       Nukumi Manoplas +1 |          8 |              Satchel | BST                                                                                      |                                           nukumi manoplas +1
             Rawhide Mask |          8 |              Satchel | BLU,RUN                                                                                  |                                                 rawhide mask
        Hattori Hakama +2 |          8 |           Wardrobe 4 | NIN                                                                                      |                                            hattori hakama +2
                  Izcalli |          8 |               Safe 2 | WHM                                                                                      |                                                      Izcalli
                Grioavolr |          8 |         Locker, Sack | GEO,RDM,SMN,SCH,BLM                                                                      |                                                    Grioavolr
                  Nu Sash |          8 |            NOT FOUND | PLD                                                                                      |                                                      nu sash
           Grapevine Cape |          8 |             Wardrobe | GEO,WHM,BLU,RDM,SMN,SCH,BLM,BRD                                                          |                                               grapevine cape
            Chas. Earring |          8 |           Wardrobe 3 | COR                                                                                      |                                           chasseur's earring
           Orion Beret +2 |          9 |               Safe 2 | RNG                                                                                      |                                               orion beret +2
          Assim. Bazu. +1 |          9 |              Satchel | BLU                                                                                      |                                   assimilator's bazubands +1
        Savant's Treatise |          9 |                 Sack | SCH                                                                                      |                                            savant's treatise
          Rumination Sash |          9 |             Wardrobe | GEO,WHM,MNK,BLM                                                                          |                                              rumination sash
         Rheic Korazin +3 |          9 |            NOT FOUND | PLD                                                                                      |                                             rheic korazin +3
             Tanmogayi +1 |          9 |            NOT FOUND | SAM                                                                                      |                                                 tanmogayi +1
        Mallquis Clogs +2 |          9 |              Satchel | GEO,SCH,BLM                                                                              |                                            mallquis clogs +2
             Mavi Earring |          9 |           Wardrobe 2 | BLU                                                                                      |                                                 mavi earring
               Caliburnus |          9 |              Satchel | BLU                                                                                      |                                                   Caliburnus
           Per. Lucky Egg |          9 |               Locker | BLU,THF,SCH                                                                              |                                            perfect lucky egg
            Thaumas Nails |          9 |               Safe 2 | RUN                                                                                      |                                                Thaumas nails
       Dojikiri Yasutsuna |          9 |                 Sack | SAM                                                                                      |                                           Dojikiri Yasutsuna
              Iron Gobbet |          9 |            NOT FOUND | PLD                                                                                      |                                                  iron gobbet
          Ulthalam's Ring |          9 |           Wardrobe 2 | BST,DRG,NIN,BLU,MNK,RUN,THF,WAR,SAM                                                      |                                              Ulthalam's ring
            Pedagogy Gown |          9 |                 Sack | SCH                                                                                      |                                                pedagogy gown
         Lethargy Earring |          9 |              Satchel | RDM                                                                                      |                                             lethargy earring
          Hashi. Bazu. +2 |          9 |              Satchel | BLU                                                                                      |                                       hashishin bazubands +2
        Seeth. Bomblet +1 |          9 |               Safe 2 | RUN                                                                                      |                                          seething bomblet +1
          Ebers Duckbills |          9 |                 Safe | WHM,COR,DNC,RNG,SMN,BLM,SAM                                                              |                                              ebers duckbills
          Vishap Armet +3 |          9 |           Wardrobe 3 | DRG                                                                                      |                                              vishap armet +3
           Ptero. Mail +3 |          9 |           Wardrobe 3 | DRG                                                                                      |                                          pteroslaver mail +3
        Chironic Slippers |          9 |               Safe 2 | WHM,SCH,BRD                                                                              |                                            chironic slippers
        Hagondes Pants +1 |          9 |           Wardrobe 4 | GEO,RDM,SMN,BLM                                                                          |                                            Hagondes pants +1
                 Norifusa |          9 |               Locker | SAM                                                                                      |                                                     Norifusa
           Magoraga Beads |         10 |             Wardrobe | BST,NIN,COR,DNC,MNK,RNG,PUP,RUN,THF                                                      |                                       Magoraga bead necklace
        Marduk's Tiara +1 |         10 |                 Case | SMN,BRD                                                                                  |                                            Marduk's tiara +1
                 Vox Grip |         10 |                 Safe | SMN                                                                                      |                                                     vox grip
         Nepenthe Grip +1 |         10 |           Wardrobe 3 | DRG                                                                                      |                                             nepenthe grip +1
        Fili Cothurnes +1 |         10 |              Satchel | BRD                                                                                      |                                            fili cothurnes +1
      Pillager's Culottes |         10 |               Safe 2 | THF                                                                                      |                                          pillager's culottes
             Phorcys Dirs |         10 |                 Safe | BST                                                                                      |                                                 Phorcys dirs
                 Zulfiqar |         10 |                 Safe | WAR                                                                                      |                                                     zulfiqar
                Septoptic |         10 |           Wardrobe 3 | BLU,RDM                                                                                  |                                                    septoptic
       Ghastly Tathlum +1 |         10 |           Wardrobe 3 | GEO,BLU,RDM,SCH,BLM                                                                      |                                           ghastly tathlum +1
           Fanatic Gloves |         10 |               Safe 2 | WHM                                                                                      |                                               fanatic gloves
              Ebers Mitts |         10 |                 Safe | WHM,COR,DNC,RNG,SMN,BLM,SAM                                                              |                                                  ebers mitts
         Rev. Breeches +1 |         10 |            NOT FOUND | PLD                                                                                      |                                        reverence breeches +1
        Evasionist's Cape |         10 |                 Safe | RUN                                                                                      |                                            evasionist's cape
         Paqichikaji Ring |         10 |           Wardrobe 2 | NIN,COR,RNG,THF,WAR,SAM                                                                  |                                             paqichikaji ring
                  Gungnir |         10 |           Wardrobe 3 | DRG                                                                                      |                                                      Gungnir
         Sayadio's Kaftan |         10 |           Wardrobe 3 | NIN,BLU,PUP                                                                              |                                             Sayadio's kaftan
          Rev. Coronet +1 |         10 |            NOT FOUND | PLD                                                                                      |                                         reverence coronet +1
           Alaunus's Cape |         10 |                 Safe | WHM                                                                                      |                                               Alaunus's cape
         Hippomenes Socks |         11 |               Locker | BLU,MNK,RNG,PUP                                                                          |                                             Hippomenes socks
         Intarabus's Cape |         11 |              Satchel | BRD                                                                                      |                                             Intarabus's cape
           Taranus's Cape |         11 |               Locker | BLM                                                                                      |                                               Taranus's cape
           Pratik Earring |         11 |           Wardrobe 2 | BST,GEO,WHM,DRG,RDM,PUP,SMN,RUN,SCH,BLM,BRD                                              |                                               pratik earring
                    Lathi |         11 |               Safe 2 | BLM                                                                                      |                                                        lathi
             Ebers Bliaut |         11 |                 Safe | WHM,COR,DNC,RNG,SMN,BLM,SAM                                                              |                                                 ebers bliaut
        Campestres's Cape |         11 |                 Safe | SMN                                                                                      |                                            Campestres's cape
           Domes. Earring |         11 |           Wardrobe 2 | BST,SMN                                                                                  |                                       domesticator's earring
                    Idris |         11 |               Locker | GEO                                                                                      |                                                        Idris
                 Tamaxchi |         11 |           Wardrobe 3 | GEO,BLU,RDM,SMN,BLM                                                                      |                                                     Tamaxchi
          Pillager's Vest |         11 |                 Case | THF                                                                                      |                                              pillager's vest
           Lapidary Tunic |         11 |               Safe 2 | NIN,COR,DNC,MNK,THF                                                                      |                                               lapidary tunic
       Glyphic Bracers +1 |         11 |                 Case | SMN                                                                                      |                                           glyphic bracers +1
         Herald's Gaiters |         11 |                 Sack | WHM,MNK,SCH,BLM                                                                          |                                             herald's gaiters
         Evanescence Ring |         12 |           Wardrobe 2 | GEO,WHM,SCH,BLM                                                                          |                                             evanescence ring
       Fili Hongreline +1 |         12 |                 Case | BRD                                                                                      |                                           fili hongreline +1
            Miasmic Pants |         12 |                 Safe | BLU,BLM                                                                                  |                                                miasmic pants
       Nantosuelta's Cape |         12 |           Safe, Case | GEO                                                                                      |                                           Nantosuelta's cape
         Ebers Pantaloons |         12 |                 Safe | WHM,COR,DNC,RNG,SMN,BLM,SAM                                                              |                                             ebers pantaloons
                    Ohtas |         12 |                 Safe | PUP                                                                                      |                                                        Ohtas
         Mallquis Saio +1 |         12 |                 Sack | GEO,SCH,BLM                                                                              |                                             mallquis saio +1
               Instigator |         12 |                 Case | WAR                                                                                      |                                                   instigator
              Amm Greaves |         12 |           Wardrobe 4 | BST,DRG,NIN,SAM                                                                          |                                                  amm greaves
          Wakido Sune. +3 |         12 |                 Sack | SAM                                                                                      |                                           wakido sune-ate +3
        Loyalist Sabatons |         12 |           Wardrobe 3 | BST,NIN                                                                                  |                                            loyalist sabatons
              Adad Amulet |         12 |             Wardrobe | BST,PUP,SMN                                                                              |                                                  Adad amulet
                 Suwaiyas |         12 |              Satchel | MNK                                                                                      |                                                     suwaiyas
          Ptero. Brais +3 |         12 |           Wardrobe 4 | DRG                                                                                      |                                         pteroslaver brais +3
          Pelt. Schyn. +2 |         12 |           Wardrobe 4 | DRG                                                                                      |                                      peltast's schynbalds +2
        Pelt. Cuissots +2 |         13 |           Wardrobe 4 | DRG                                                                                      |                                        peltast's cuissots +2
            Evans Earring |         13 |           Wardrobe 2 | SMN,BLM                                                                                  |                                                evans earring
                Fomalhaut |         13 |               Safe 2 | COR,RNG                                                                                  |                                                    Fomalhaut
                  Kannagi |         13 |               Locker | NIN                                                                                      |                                                      Kannagi
             Ephedra Ring |         13 |           Wardrobe 2 | GEO,WHM,BLU,RDM,SMN,SCH,BLM,BRD                                                          |                                                 ephedra ring
        Pelt. Plackart +2 |         13 |           Wardrobe 3 | DRG                                                                                      |                                        peltast's plackart +2
          Bloodrain Strap |         13 |           Wardrobe 3 | BLU,MNK                                                                                  |                                              bloodrain strap
          Yagyu Darkblade |         13 |           Wardrobe 4 | NIN                                                                                      |                                              Yagyu Darkblade
           Danzo Sune-Ate |         13 |           Wardrobe 4 | NIN,SAM                                                                                  |                                               danzo sune-ate
               Black Belt |         13 |             Wardrobe | MNK                                                                                      |                                                   black belt
        Hachiya Chain. +3 |         13 |             Wardrobe | NIN                                                                                      |                                         hachiya chainmail +3
          Merlinic Jubbah |         13 |               Safe 2 | GEO,RDM,BLM                                                                              |                                              merlinic jubbah
              Siegel Sash |         13 |             Wardrobe | WHM,RDM,SMN,RUN,SCH,BLM,PLD                                                              |                                                  siegel sash
          Fettering Blade |         14 |               Safe 2 | RUN                                                                                      |                                              fettering blade
          Hardwood Katana |         14 |            NOT FOUND | NIN,WAR                                                                                  |                                              hardwood katana
         Wicce Earring +1 |         14 |           Wardrobe 4 | BLM                                                                                      |                                             wicce earring +1
             Ebers Cap +1 |         14 |                 Safe | WHM,COR,DNC,RNG,SMN,BLM,SAM                                                              |                                                 ebers cap +1
           Baetyl Pendant |         14 |             Wardrobe | GEO,BLU,MNK,RDM,SCH,BLM                                                                  |                                               baetyl pendant
         Bihu Jstcorps +1 |         14 |                 Case | BRD                                                                                      |                                          bihu justaucorps +1
          Apogee Pumps +1 |         14 |                 Safe | SMN                                                                                      |                                              apogee pumps +1
            Mephitis Grip |         14 |                 Case | WHM,RDM,SCH,BLM                                                                          |                                                mephitis grip
          Mummu Jacket +2 |         15 |           Wardrobe 4 | NIN,MNK,RNG                                                                              |                                              Mummu jacket +2
             Beeline Ring |         15 |           Wardrobe 2 | BST,DRG,NIN,BLU,DNC,MNK,RNG,PUP,RUN,THF,WAR,PLD,SAM                                      |                                                 beeline ring
          Sucellos's Cape |         15 |               Safe 2 | RDM                                                                                      |                                              Sucellos's cape
            Phorcys Mitts |         15 |               Safe 2 | BST,SAM                                                                                  |                                                Phorcys mitts
           Navon Crackows |         15 |               Safe 2 | GEO,WHM,RDM,BLM,BRD                                                                      |                                               navon crackows
       Inyanga Shalwar +1 |         15 |                 Sack | WHM,SMN,BRD                                                                              |                                           Inyanga shalwar +1
       Azimuth Earring +1 |         15 |           Wardrobe 4 | GEO                                                                                      |                                           azimuth earring +1
       Luhlaza Charuqs +1 |         15 |                 Case | BLU                                                                                      |                                           luhlaza charuqs +1
                Apaisante |         15 |              Satchel | COR,DNC                                                                                  |                                                    apaisante
       Tali'ah Manteel +2 |         15 |               Safe 2 | BST,PUP,SMN                                                                              |                                           tali'ah manteel +2
            Plun. Armlets |         15 |              Satchel | THF                                                                                      |                                          plunderer's armlets
       Arbatel Earring +1 |         16 |                 Sack | SCH                                                                                      |                                           arbatel earring +1
                 Divinity |         16 |               Safe 2 | PLD                                                                                      |                                                     divinity
          Roundel Earring |         16 |           Wardrobe 2 | WHM,DRG,DNC,RDM,PUP,SMN,RUN,BLM                                                          |                                              roundel earring
              Love Torque |         16 |             Wardrobe | BLU,DNC,THF                                                                              |                                                  love torque
         Skulk. Poulaines |         16 |                 Case | THF                                                                                      |                                          skulker's poulaines
         Telchine Braconi |         16 |                 Case | WHM,RDM,SCH,BLM,BRD                                                                      |                                             telchine braconi
                  Nirvana |         17 |                 Safe | SMN                                                                                      |                                                      Nirvana
                Toro Cape |         17 |             Wardrobe | WHM,NIN,COR,BLU,DNC,MNK,RDM,THF,SCH,BLM                                                  |                                                    toro cape
              Boii Lorica |         17 |               Safe 2 | WAR                                                                                      |                                                  boii lorica
             Oneiros Grip |         17 |                 Case | SMN,SCH,BLM,BRD                                                                          |                                                 oneiros grip
          Vishap Brais +3 |         17 |           Wardrobe 4 | DRG                                                                                      |                                              vishap brais +3
       Convoker's Horn +3 |         17 |                 Safe | SMN                                                                                      |                                           convoker's horn +3
         Luh. Keffiyeh +1 |         17 |              Satchel | BLU                                                                                      |                                          luhlaza keffiyeh +1
             Ayao's Gages |         18 |           Wardrobe 3 | GEO,BLU,RDM,SCH,BLM                                                                      |                                                 Ayao's gages
           Dgn. Collar +2 |         18 |             Wardrobe | DRG                                                                                      |                                          dragoon's collar +2
            Zoar Subligar |         18 |           Wardrobe 4 | NIN,BLU,RDM,BRD,SAM                                                                      |                                                zoar subligar
         Enmerkar Earring |         18 |           Wardrobe 2 | BST,PUP,SMN                                                                              |                                             Enmerkar earring
            Umuthi Gloves |         18 |                 Safe | BST,RUN,SAM                                                                              |                                                umuthi gloves
          Pel. Earring +1 |         18 |           Wardrobe 2 | DRG                                                                                      |                                         peltast's earring +1
            Beck. Earring |         18 |           Wardrobe 4 | SMN                                                                                      |                                           beckoner's earring
        Ptero. Fin. G. +3 |         18 |           Wardrobe 4 | DRG                                                                                      |                              pteroslaver finger gauntlets +3
         Heka's Kalasiris |         18 |           Wardrobe 4 | GEO,RDM,SMN,SCH,BLM,BRD                                                                  |                                             Heka's kalasiris
             Kurys Gloves |         18 |               Locker | COR,DNC,RNG,RUN,THF                                                                      |                                                 kurys gloves
        Azimuth Tights +2 |         18 |               Safe 2 | GEO                                                                                      |                                            azimuth tights +2
              Shango Robe |         18 |                 Case | GEO,WHM,RDM,SCH,BLM                                                                      |                                                  shango robe
            Merlinic Hood |         19 |                 Sack | GEO,RDM,SCH,BLM                                                                          |                                                merlinic hood
          Globidonta Ring |         19 |           Wardrobe 2 | GEO,WHM,MNK,SMN,SCH,BLM                                                                  |                                              globidonta ring
             Mavi Tathlum |         19 |               Locker | BLU                                                                                      |                                                 mavi tathlum
                    Linos |         19 |                 Case | BRD                                                                                      |                                                        Linos
           Limbo Trousers |         19 |           Wardrobe 4 | BST,DRG,MNK,THF,WAR,SAM                                                                  |                                               limbo trousers
         Psystorm Earring |         19 |           Wardrobe 2 | GEO,WHM,COR,BLU,RDM,SCH,BLM                                                              |                                             psystorm earring
           Passion Jacket |         19 |               Safe 2 | NIN,COR,BLU,DNC,MNK,RNG,PUP,RUN,THF                                                      |                                               passion jacket
                    Shijo |         19 |               Locker | THF                                                                                      |                                                        shijo
             Lebeche Ring |         20 |           Wardrobe 2 | GEO,WHM,BLU,RDM,SMN,RUN,SCH,BLM,BRD,PLD                                                  |                                                 lebeche ring
          Cornelia's Belt |         20 |             Wardrobe | GEO,WHM,MNK,PUP,SMN,SCH,BLM                                                              |                                              Cornelia's belt
            Trainee Burin |         20 |            NOT FOUND | WAR                                                                                      |                                                trainee burin
         Skd. Jambeaux +1 |         20 |               Safe 2 | BST,COR,DNC,RNG,THF                                                                      |                                          Skadi's jambeaux +1
          Psycloth Lappas |         20 |              Satchel | GEO,BLU,SMN,SCH,BLM                                                                      |                                              psycloth lappas
        Lifestorm Earring |         20 |           Wardrobe 2 | BST,COR,BLU,MNK,RDM,SCH                                                                  |                                            lifestorm earring
        Hachiya Hatsu. +3 |         20 |               Safe 2 | NIN                                                                                      |                                         hachiya hatsuburi +3
             Tali'ah Ring |         20 |           Wardrobe 2 | BST,PUP,SMN                                                                              |                                                 tali'ah ring
               Cho'j Band |         20 |           Wardrobe 2 | WHM,BLU,RDM,SMN,SCH,BRD                                                                  |                                                   cho'j band
          Medium's Sabots |         20 |                 Case | GEO,BLU,RDM,SCH,BLM,BRD                                                                  |                                              medium's sabots
        Sanctity Necklace |         21 |             Wardrobe | GEO,DRG,MNK,RDM,SCH,BLM                                                                  |                                            sanctity necklace
          Vrikodara Jupon |         21 |            Inventory | BLU,PUP,SMN,RUN,BRD                                                                      |                                              vrikodara jupon
       Brioso Slippers +3 |         21 |                 Sack | BRD                                                                                      |                                           brioso slippers +3
             Iuitl Tights |         21 |              Satchel | BST,COR,DNC,RUN,THF                                                                      |                                                 iuitl tights
       Azimuth Gaiters +2 |         21 |               Safe 2 | GEO                                                                                      |                                           azimuth gaiters +2
            Samanisi Cape |         21 |                 Case | SMN                                                                                      |                                                samanisi cape
            Viking Shield |         21 |            NOT FOUND | RUN                                                                                      |                                                viking shield
         Incarnation Sash |         21 |             Wardrobe | BST,PUP,SMN                                                                              |                                             incarnation sash
          Phalaina Locket |         22 |             Wardrobe | GEO,WHM,DRG,BLU,RDM,SMN,RUN,SCH,BLM,BRD                                                  |                                              phalaina locket
              Lugh's Cape |         22 |                 Sack | SCH                                                                                      |                                                  Lugh's cape
              Bloody Bolt |         22 |            NOT FOUND | THF,WAR                                                                                  |                                                  bloody bolt
          Azimuth Coat +2 |         22 |                 Safe | GEO                                                                                      |                                              azimuth coat +2
         Macu. Earring +1 |         22 |               Locker | DNC                                                                                      |                                          maculele earring +1
       Battlecast Gaiters |         23 |               Safe 2 | GEO,WHM,BLU,SMN,SCH,BLM                                                                  |                                           battlecast gaiters
           Flamma Dirs +2 |         23 |           Wardrobe 3 | WAR,PLD                                                                                  |                                               flamma dirs +2
         Ebers Earring +1 |         23 |               Locker | WHM                                                                                      |                                             ebers earring +1
        Telchine Pigaches |         23 |               Locker | GEO,WHM,RDM,SMN,SCH,BLM,BRD                                                              |                                            telchine pigaches
      Peltast's Mezail +2 |         23 |           Wardrobe 3 | DRG                                                                                      |                                          peltast's mezail +2
             Fucho-no-Obi |         23 |             Wardrobe | GEO,WHM,BLU,RDM,SMN,RUN,SCH,BLM,BRD,PLD                                                  |                                                 fucho-no-obi
         Kara. Earring +1 |         23 |               Safe 2 | PUP                                                                                      |                                           karagoz earring +1
         Inyanga Tiara +1 |         23 |               Safe 2 | WHM,SMN,BRD                                                                              |                                             Inyanga tiara +1
          Malignance Pole |         24 |           Wardrobe 4 | WHM,MNK,BLM,PLD                                                                          |                                              malignance pole
       Arbatel Loafers +2 |         24 |                 Sack | GEO,RUN,SCH                                                                              |                                           arbatel loafers +2
              Ogma's Cape |         24 |              Satchel | RUN                                                                                      |                                                  Ogma's cape
        Hashishin Earring |         24 |           Wardrobe 3 | BLU                                                                                      |                                            hashishin earring
                 Exemplar |         24 |           Wardrobe 3 | GEO,WHM,RDM,SMN,SCH,BLM,BRD                                                              |                                                     exemplar
        Bhikku Earring +2 |         24 |               Locker | MNK                                                                                      |                                            bhikku earring +2
               Mummu Ring |         24 |           Wardrobe 4 | NIN,COR,MNK,THF                                                                          |                                                   Mummu ring
          Cornflower Cape |         25 |                 Safe | BLU                                                                                      |                                              cornflower cape
         Crematio Earring |         25 |           Wardrobe 2 | GEO,NIN,BLU,RDM,RUN,THF,SCH,BLM                                                          |                                             crematio earring
           Ganesha's Mala |         25 |             Wardrobe | DRG,SAM                                                                                  |                                               Ganesha's mala
         Hizamaru Kote +2 |         25 |             Wardrobe | NIN,MNK,PUP,SAM                                                                          |                                             Hizamaru kote +2
               Pixquizpan |         25 |              Satchel | BST,WAR,BLM                                                                              |                                                   pixquizpan
             Erra Pendant |         25 |             Wardrobe | GEO,WHM,BLU,RDM,RUN,SCH,BLM                                                              |                                                 Erra pendant
        Inyanga Jubbah +2 |         25 |                 Case | WHM,SMN,BRD                                                                              |                                            Inyanga jubbah +2
             Niobid Strap |         25 |           Wardrobe 3 | GEO,RDM,SCH,BLM                                                                          |                                                 niobid strap
           Telchine Chas. |         25 |            Inventory | GEO,WHM,RDM,SMN,SCH,BLM,BRD                                                              |                                            telchine chasuble
         Mummu Gamash. +2 |         25 |           Wardrobe 4 | NIN,MNK,THF                                                                              |                                            Mummu gamashes +2
          Con. Doublet +3 |         26 |               Locker | SMN                                                                                      |                                        convoker's doublet +3
           Emicho Haubert |         26 |           Wardrobe 3 | BST,DRG                                                                                  |                                               emicho haubert
           Leyline Gloves |         26 |           Wardrobe 4 | BST,DRG,NIN,BLU,MNK,RNG,RUN,THF,WAR,BRD,SAM                                              |                                               leyline gloves
           Incantor Stone |         26 |           Wardrobe 3 | WHM,SCH,PLD                                                                              |                                               incantor stone
            Perimede Cape |         26 |             Wardrobe | GEO,WHM,BLU,SMN,SCH,BLM,BRD                                                              |                                                perimede cape
         Merlinic Shalwar |         26 |              Satchel | RDM,SCH,BLM                                                                              |                                             merlinic shalwar
           Gishdubar Sash |         26 |             Wardrobe | GEO,WHM,DRG,NIN,COR,BLU,DNC,MNK,RDM,RNG,PUP,SMN,RUN,THF,WAR,SCH,BLM,BRD,PLD,SAM          |                                               gishdubar sash
        Pel. Vambraces +2 |         26 |           Wardrobe 4 | DRG                                                                                      |                                       peltast's vambraces +2
        Otronif Gloves +1 |         27 |               Locker | NIN,MNK,PUP,SAM                                                                          |                                            otronif gloves +1
            Chrono Bullet |         28 |               Safe 2 | COR,RNG                                                                                  |                                                chrono bullet
          Rosmerta's Cape |         28 |                 Safe | BLU                                                                                      |                                              Rosmerta's cape
       Inyan. Dastanas +2 |         28 |                 Case | WHM,SMN,BRD                                                                              |                                          Inyanga dastanas +2
